#TYPE System.Management.ManagementObject#root\cimv2\Win32_QuickFixEngineering
"PSComputerName","InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"POROKHNYA","26.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB974405"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB974405"",ServicePackInEffect=""""","http://support.microsoft.com?kbid=974405","POROKHNYA","Update","","KB974405",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2849697"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2849697"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2849697",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2849697"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2849697"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2849697",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2849696"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2849696"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2849696",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2849696"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2849696"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2849696",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2841134"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2841134"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2841134",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2841134"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2841134"",ServicePackInEffect=""""","http://go.microsoft.com/fwlink/?LinkId=133041","POROKHNYA","Update","","KB2841134",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2670838"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2670838"",ServicePackInEffect=""""","http://support.microsoft.com/","POROKHNYA","Update","","KB2670838",,"POROKHNYA\admin",,"",
"POROKHNYA","20.12.2019 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB3191566"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB3191566"",ServicePackInEffect=""""","http://support.microsoft.com/","POROKHNYA","Update","","KB3191566",,"POROKHNYA\admin",,"",
"POROKHNYA","24.02.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2534111"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2534111"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2534111","POROKHNYA","Hotfix","","KB2534111",,"",,"",
"POROKHNYA","24.02.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2664825"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2664825"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2664825","POROKHNYA","Hotfix","","KB2664825",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2729094"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2729094"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2729094","POROKHNYA","Update","","KB2729094",,"POROKHNYA\admin",,"",
"POROKHNYA","11.04.2016 0:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB2786081"",ServicePackInEffect=""""","11","System.String[]","POROKHNYA","root\cimv2","\\POROKHNYA\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB2786081"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=2786081","POROKHNYA","Update","","KB2786081",,"POROKHNYA\admin",,"",
